Voronoi_Sites_Lat,Voronoi_Sites_Lon,Catchment_Polygon_Population,Catchment_Polygon_Area,Voronoi_Sites_Grid_Number
12.9542651,80.16961429999999,-1.0,-1.0,0.0
12.9648306,80.1692909,-1.0,-1.0,1.0
12.960077,80.168692,2270.0,0.17320619962379832,1.0
13.0190089,80.169634,-1.0,-1.0,6.0
13.0250312,80.16839,-1.0,-1.0,7.0
13.0416915,80.16833679999999,-1.0,-1.0,9.0
13.0441708,80.1697976,2122.0,0.10607941099016265,9.0
13.0447005,80.1698807,-1.0,-1.0,9.0
13.0580437,80.1685771,-1.0,-1.0,10.0
13.0640006,80.16800889999999,-1.0,-1.0,11.0
13.0768291,80.16961859999999,-1.0,-1.0,12.0
13.0805983,80.1687714,999.0,0.04862742016671638,13.0
13.0997993,80.1698389,-1.0,-1.0,14.0
13.1198339,80.1669896,-1.0,-1.0,16.0
13.1191661,80.1683843,1292.0,0.1278958571305664,16.0
13.1154856,80.1683001,-1.0,-1.0,16.0
13.12235,80.16787099999999,-1.0,-1.0,17.0
13.1215778,80.1674764,-1.0,-1.0,17.0
12.9570364,80.1744421,348.0,0.022905512607170397,19.0
12.9579144,80.17973789999999,1449.0,0.11334842728720355,19.0
12.9573256,80.17825479999999,173.0,0.009502884543952735,19.0
12.9575211,80.17966679999999,713.0,0.03730020776963064,19.0
12.956772299999999,80.17403806666665,102.0,0.00836030581223895,19.0
12.9554303,80.1744786,1269.0,0.13147508674675829,19.0
12.9532648,80.1770963,-1.0,-1.0,19.0
12.9574177,80.1781797,816.0,0.05102387826754826,19.0
12.956461,80.17850399999999,1438.0,0.10249876917315683,19.0
12.9581973,80.1758638,1338.0,0.09185743986608096,19.0
12.95752,80.172302,1837.0,0.14361323483891422,19.0
12.9579622,80.1749526,696.0,0.044806207898001146,19.0
12.9568571,80.17364169999999,421.0,0.033729830643674984,19.0
12.9518527,80.1761841,-1.0,-1.0,19.0
12.9614706,80.17407279999999,826.0,0.07381165798929737,20.0
