Class,Education,Health,Connectivity,Utilities,Government_Facilities
C1,6773,5260,28968,11114,5542
C2,6244,4750,45792,10761,6723
C3,4700,4036,40167,7294,6418
C4,2605,4338,27901,4528,4834
C5,3026,3619,31453,4486,5859
