Districts,Gini_Index
Bangalore,0.43224003116086074
Chennai,0.08298594019237239
Delhi,0.23850115637799585
Gurgaon,0.20700044412840382
Hyderabad,0.10794916153341967
Kolkata,0.06055849004237022
Mumbai,0.1068935361008859
