Class,Education,Health,Connectivity,Utilities,Government_Facilities
C1,2630,5552,29343,9469,7000
C2,2159,2024,28810,5622,4541
C3,4383,5130,24436,8989,5496
C4,1756,2097,26490,2884,4494
C5,2674,2420,30310,8428,5502
