Class,Education,Health,Connectivity,Utilities,Government_Facilities
C1,4139,3202,24432,4697,7728
C2,8097,6769,103287,10957,9602
C3,10001,9784,146992,11969,12903
C4,13542,5737,98207,11667,10381
C5,1817,3248,6683,8158,12222
