Class,Education,Health,Connectivity,Utilities,Government_Facilities
C1,14215,27259,59522,39599,22229
C2,6752,4786,71790,21007,9856
C3,5688,3841,80632,11872,4024
C4,4846,4765,61314,12065,3225
C5,6022,3442,64165,9471,3723
