Districts,Education,Health,Connectivity,Utilities,Government_Facilities
Bangalore,5471,2755,66646,7270,6536
Chennai,3102,1863,26311,5092,3207
Delhi,3166,2263,43714,7243,5473
Gurgaon,1446,1062,17694,4585,3082
Hyderabad,2486,1514,23948,5923,3111
Kolkata,3773,2430,45363,9631,3900
Mumbai,5167,2717,37356,11875,5675
