Grid_Number,school
30,131.0
47,95.0
48,120.0
49,153.0
65,118.0
66,130.0
67,109.0
68,115.0
81,129.0
82,144.0
83,119.0
84,125.0
86,124.0
101,139.0
102,123.0
103,116.0
104,106.0
105,124.0
120,120.0
121,112.0
122,104.0
123,116.0
124,112.0
125,126.0
135,136.0
136,141.0
137,111.0
138,115.0
139,118.0
140,95.0
141,99.0
142,119.0
143,119.0
144,137.0
145,135.0
146,152.0
147,156.0
153,119.0
154,135.0
155,131.0
156,138.0
157,128.0
158,135.0
159,131.0
160,96.0
161,106.0
162,132.0
163,146.0
164,120.0
167,121.0
172,141.0
174,122.0
175,128.0
176,126.0
177,123.0
178,124.0
179,121.0
180,122.0
181,136.0
182,135.0
186,103.0
188,117.0
192,133.0
193,128.0
194,120.0
195,132.0
196,132.0
197,110.0
198,122.0
199,145.0
200,137.0
201,145.0
202,112.0
204,117.0
205,115.0
212,100.0
213,123.0
214,130.0
215,146.0
216,113.0
217,105.0
218,106.0
219,130.0
220,159.0
221,134.0
222,106.0
223,105.0
224,133.0
233,113.0
234,125.0
235,113.0
236,98.0
237,116.0
238,116.0
239,119.0
240,133.0
241,125.0
242,95.0
243,120.0
253,115.0
254,116.0
255,112.0
256,106.0
257,115.0
258,112.0
259,97.0
260,90.0
261,93.0
262,107.0
281,94.0
