Grid_Number,hospital
0,7.0
1,6.0
2,6.0
3,5.0
4,4.0
5,3.0
6,3.0
7,3.0
8,3.0
9,3.0
10,3.0
11,2.0
12,2.0
13,2.0
14,9.0
15,8.0
16,8.0
17,8.0
18,8.0
19,8.0
20,12.0
21,14.0
22,14.0
23,12.0
24,15.0
25,15.0
26,15.0
27,15.0
28,15.0
29,10.0
30,13.0
31,11.0
32,6.0
33,6.0
34,6.0
35,7.0
36,7.0
37,8.0
38,9.0
39,9.0
40,7.0
41,5.0
42,3.0
43,3.0
44,3.0
45,3.0
46,3.0
47,2.0
48,2.0
49,9.0
50,8.0
51,8.0
52,8.0
53,8.0
54,8.0
55,13.0
56,14.0
57,14.0
58,15.0
59,15.0
60,15.0
61,15.0
62,15.0
63,15.0
64,11.0
65,14.0
66,15.0
67,7.0
68,6.0
69,6.0
70,7.0
71,10.0
72,10.0
73,10.0
74,10.0
75,7.0
76,8.0
77,4.0
78,3.0
79,3.0
80,3.0
81,3.0
82,2.0
83,2.0
84,9.0
85,8.0
86,8.0
87,8.0
88,8.0
89,8.0
90,10.0
91,14.0
92,14.0
93,15.0
94,15.0
95,15.0
96,15.0
97,15.0
98,15.0
99,11.0
100,13.0
101,15.0
102,7.0
103,7.0
104,6.0
105,10.0
106,11.0
107,11.0
108,11.0
109,10.0
110,7.0
111,8.0
112,6.0
113,5.0
114,4.0
115,4.0
116,4.0
117,2.0
118,3.0
119,6.0
120,8.0
121,8.0
122,9.0
123,8.0
124,8.0
125,10.0
126,15.0
127,10.0
128,16.0
129,17.0
130,16.0
131,15.0
132,16.0
133,13.0
134,13.0
135,13.0
136,16.0
137,8.0
138,7.0
139,7.0
140,11.0
141,11.0
142,11.0
143,11.0
144,9.0
145,7.0
146,7.0
147,7.0
148,7.0
149,4.0
150,4.0
151,5.0
152,6.0
153,6.0
154,2.0
155,11.0
156,10.0
157,10.0
158,10.0
159,10.0
160,11.0
161,12.0
162,9.0
163,13.0
164,17.0
165,17.0
166,16.0
167,13.0
168,13.0
169,11.0
170,13.0
171,12.0
172,8.0
173,8.0
174,7.0
175,12.0
176,12.0
177,11.0
178,11.0
179,9.0
180,7.0
181,8.0
182,6.0
183,7.0
184,4.0
185,8.0
186,7.0
187,6.0
188,5.0
189,6.0
190,6.0
191,11.0
192,10.0
193,12.0
194,12.0
195,11.0
196,6.0
197,6.0
198,5.0
199,14.0
200,14.0
201,13.0
202,15.0
203,13.0
204,11.0
205,12.0
206,8.0
207,6.0
208,5.0
209,6.0
210,11.0
211,11.0
212,11.0
213,10.0
214,10.0
215,8.0
216,8.0
217,7.0
218,8.0
219,8.0
220,8.0
221,7.0
222,6.0
223,7.0
224,7.0
225,6.0
226,6.0
227,5.0
228,5.0
229,6.0
230,6.0
231,7.0
232,6.0
233,7.0
234,8.0
235,13.0
