Amenities,Correlation_Coefficient
local_government_office,-0.91229
school,-0.84167
police,-0.74055
doctor,-0.99544
train_station,-0.96305
department_store,0.27464
supermarket,-0.94268
primary_school,-0.94001
taxi_stand,-0.82885
bus_station,0.55787
hospital,-0.36064
bank,-0.97254
