Amenities,Number of Amenities per capita
local_government_office,0.00019754912290978954
school,0.0004382090942081082
police,5.5283323227643285e-05
doctor,0.0003360110242047126
train_station,6.086237419557059e-06
department_store,1.775152580704142e-05
supermarket,0.000167625122263634
primary_school,0.00010371962935828488
taxi_stand,3.0431187097785293e-06
bus_station,4.0321322904565515e-05
hospital,0.00048487024775804567
bank,0.00011411695161669486
