Grid_Number,bank
121,46.0
158,63.0
159,56.0
160,48.0
162,25.0
163,37.0
181,13.0
182,12.0
192,47.0
193,79.0
194,87.0
195,93.0
196,68.0
197,77.0
198,57.0
199,63.0
200,57.0
201,64.0
202,57.0
206,41.0
208,40.0
214,39.0
219,29.0
220,29.0
221,35.0
222,34.0
223,36.0
231,73.0
232,93.0
233,85.0
234,63.0
235,63.0
236,49.0
237,60.0
238,73.0
239,85.0
240,71.0
241,61.0
244,53.0
245,53.0
246,56.0
247,43.0
248,33.0
249,39.0
250,41.0
251,39.0
252,49.0
253,35.0
254,35.0
255,43.0
256,38.0
257,44.0
258,51.0
259,46.0
260,47.0
261,52.0
271,60.0
272,31.0
273,35.0
274,33.0
275,56.0
276,57.0
277,75.0
278,67.0
279,60.0
280,55.0
281,47.0
282,55.0
283,72.0
284,47.0
285,46.0
286,49.0
287,46.0
288,53.0
289,52.0
290,50.0
291,54.0
292,53.0
293,48.0
294,60.0
295,49.0
296,43.0
297,38.0
298,58.0
313,25.0
314,32.0
315,26.0
316,49.0
317,59.0
318,59.0
319,57.0
321,60.0
322,61.0
323,50.0
324,53.0
325,55.0
326,66.0
327,71.0
328,55.0
329,47.0
330,46.0
331,45.0
332,60.0
333,46.0
335,41.0
336,56.0
337,57.0
338,56.0
354,24.0
355,41.0
356,49.0
357,44.0
358,63.0
359,70.0
360,71.0
361,55.0
362,42.0
363,59.0
364,64.0
365,66.0
366,47.0
370,46.0
371,39.0
372,33.0
373,31.0
374,34.0
375,50.0
376,51.0
377,51.0
378,34.0
393,33.0
394,41.0
395,45.0
396,52.0
397,69.0
398,68.0
399,51.0
400,48.0
401,57.0
402,67.0
403,46.0
408,22.0
410,26.0
411,20.0
416,27.0
432,31.0
434,56.0
435,52.0
436,52.0
437,43.0
438,48.0
439,57.0
440,56.0
467,1.0
468,6.0
469,14.0
471,36.0
472,50.0
473,48.0
474,71.0
475,67.0
476,77.0
477,63.0
478,56.0
505,1.0
506,1.0
507,8.0
510,48.0
511,56.0
512,62.0
513,71.0
514,79.0
515,70.0
548,50.0
549,54.0
550,55.0
551,61.0
552,67.0
553,52.0
554,59.0
586,40.0
587,39.0
588,42.0
592,45.0
593,47.0
595,50.0
596,39.0
624,31.0
632,49.0
633,48.0
634,50.0
635,41.0
661,18.0
672,51.0
673,54.0
712,62.0
