Grid_Number,department_store
121,2.0
158,1.0
159,1.0
160,0.0
162,0.0
163,0.0
181,0.0
182,0.0
192,1.0
193,1.0
194,1.0
195,1.0
196,3.0
197,0.0
198,0.0
199,0.0
200,1.0
201,0.0
202,0.0
206,0.0
208,0.0
214,0.0
219,0.0
220,1.0
221,0.0
222,1.0
223,1.0
231,2.0
232,1.0
233,1.0
234,0.0
235,1.0
236,0.0
237,1.0
238,1.0
239,0.0
240,1.0
241,1.0
244,3.0
245,3.0
246,2.0
247,1.0
248,0.0
249,1.0
250,0.0
251,4.0
252,1.0
253,1.0
254,0.0
255,1.0
256,0.0
257,4.0
258,0.0
259,1.0
260,0.0
261,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,1.0
276,0.0
277,0.0
278,1.0
279,1.0
280,5.0
281,1.0
282,1.0
283,0.0
284,0.0
285,2.0
286,2.0
287,3.0
288,1.0
289,1.0
290,0.0
291,2.0
292,0.0
293,1.0
294,1.0
295,0.0
296,0.0
297,1.0
298,1.0
313,0.0
314,0.0
315,1.0
316,0.0
317,2.0
318,0.0
319,3.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,1.0
327,1.0
328,1.0
329,0.0
330,0.0
331,0.0
332,1.0
333,3.0
335,1.0
336,0.0
337,1.0
338,1.0
354,0.0
355,0.0
356,2.0
357,0.0
358,0.0
359,1.0
360,0.0
361,0.0
362,0.0
363,0.0
364,1.0
365,0.0
366,1.0
370,4.0
371,1.0
372,1.0
373,1.0
374,2.0
375,2.0
376,0.0
377,1.0
378,1.0
393,0.0
394,0.0
395,0.0
396,0.0
397,2.0
398,3.0
399,0.0
400,0.0
401,0.0
402,1.0
403,0.0
408,3.0
410,0.0
411,1.0
416,1.0
432,0.0
434,0.0
435,1.0
436,0.0
437,2.0
438,0.0
439,0.0
440,1.0
467,0.0
468,0.0
469,0.0
471,1.0
472,1.0
473,4.0
474,0.0
475,0.0
476,0.0
477,1.0
478,0.0
505,0.0
506,0.0
507,0.0
510,1.0
511,0.0
512,1.0
513,3.0
514,1.0
515,0.0
548,1.0
549,1.0
550,0.0
551,0.0
552,1.0
553,1.0
554,1.0
586,3.0
587,3.0
588,0.0
592,1.0
593,1.0
595,0.0
596,0.0
624,1.0
632,3.0
633,2.0
634,0.0
635,2.0
661,0.0
672,0.0
673,2.0
712,0.0
