Grid_Number,supermarket
121,4.0
158,8.0
159,8.0
160,6.0
162,5.0
163,3.0
181,4.0
182,2.0
192,6.0
193,1.0
194,1.0
195,5.0
196,29.0
197,11.0
198,6.0
199,2.0
200,1.0
201,4.0
202,6.0
206,2.0
208,4.0
214,7.0
219,1.0
220,6.0
221,4.0
222,11.0
223,5.0
231,1.0
232,5.0
233,17.0
234,27.0
235,3.0
236,5.0
237,1.0
238,11.0
239,1.0
240,6.0
241,6.0
244,10.0
245,7.0
246,6.0
247,10.0
248,0.0
249,3.0
250,4.0
251,9.0
252,11.0
253,12.0
254,13.0
255,11.0
256,7.0
257,5.0
258,2.0
259,13.0
260,7.0
261,4.0
271,0.0
272,2.0
273,3.0
274,5.0
275,3.0
276,7.0
277,6.0
278,11.0
279,12.0
280,7.0
281,8.0
282,6.0
283,5.0
284,6.0
285,8.0
286,6.0
287,5.0
288,9.0
289,8.0
290,9.0
291,7.0
292,8.0
293,10.0
294,9.0
295,12.0
296,3.0
297,4.0
298,6.0
313,0.0
314,2.0
315,4.0
316,3.0
317,5.0
318,4.0
319,12.0
321,4.0
322,1.0
323,3.0
324,3.0
325,4.0
326,8.0
327,5.0
328,4.0
329,3.0
330,5.0
331,8.0
332,6.0
333,9.0
335,4.0
336,5.0
337,8.0
338,3.0
354,5.0
355,9.0
356,7.0
357,7.0
358,1.0
359,3.0
360,4.0
361,2.0
362,2.0
363,1.0
364,6.0
365,9.0
366,6.0
370,17.0
371,15.0
372,13.0
373,5.0
374,10.0
375,4.0
376,5.0
377,14.0
378,8.0
393,6.0
394,3.0
395,0.0
396,5.0
397,5.0
398,14.0
399,1.0
400,0.0
401,0.0
402,9.0
403,3.0
408,4.0
410,6.0
411,8.0
416,4.0
432,1.0
434,8.0
435,2.0
436,6.0
437,9.0
438,8.0
439,6.0
440,14.0
467,0.0
468,0.0
469,0.0
471,4.0
472,5.0
473,7.0
474,3.0
475,3.0
476,11.0
477,10.0
478,7.0
505,0.0
506,0.0
507,3.0
510,5.0
511,5.0
512,9.0
513,8.0
514,13.0
515,2.0
548,11.0
549,5.0
550,4.0
551,4.0
552,10.0
553,9.0
554,7.0
586,3.0
587,11.0
588,0.0
592,3.0
593,7.0
595,4.0
596,1.0
624,4.0
632,7.0
633,6.0
634,4.0
635,3.0
661,0.0
672,2.0
673,1.0
712,11.0
