Grid_Number,supermarket
121,0.275369914536518
158,0.12000215557625307
159,0.21677822564620436
160,0.2614851668296225
162,0.2603714627167051
163,0.31886567931170656
181,0.14644620399290698
182,0.4041789825112268
192,0.2566954913256901
193,0.3079531355899082
194,0.2783507138554696
195,0.24721554518339664
196,0.1984267681020264
197,0.18038563623046472
198,0.08524772060735111
199,0.4078395932949464
200,0.4651076675775737
201,0.30309861629746104
202,0.2608242063026888
206,0.29913057076917243
208,0.2658532223267904
214,0.2660447335481098
219,0.4688701835847594
220,0.3255570189435741
221,0.3239562098987535
222,0.11443191239528284
223,0.20627814351085455
231,0.5794836376655311
232,0.13664396305265364
233,0.204705627815826
234,0.0779310370693733
235,0.5203149362970391
236,0.1803972416583193
237,0.3529492712788851
238,0.3330372075409239
239,0.5444464702720043
240,0.17940664036264647
241,0.3412916255578829
244,0.11201312282004518
245,0.08695709443274821
246,0.1940025368495165
247,0.08260435754803977
248,0.6856465754622694
249,0.0345275237004845
250,0.15747285947849884
251,0.2114944157642061
252,0.06087465235147256
253,0.13066370093331833
254,0.17208848676560856
255,0.20721854389162625
256,0.17512066362365614
257,0.12269717977614958
258,0.35909268424590873
259,0.29273309620387605
260,0.18910335077915494
261,0.10690472955530822
271,0.7130530835270809
272,0.4116404224644753
273,0.2868974248631991
274,0.12005052289311653
275,0.4113562034703929
276,0.26606744967540275
277,0.13712690723665513
278,0.1402969541923862
279,0.2997853624923075
280,0.3358785763836338
281,0.21373661017390636
282,0.1486384118614244
283,0.04933686462137886
284,0.3127121494031526
285,0.16050489207504964
286,0.27511158852832995
287,0.22209052726484074
288,0.255091517968456
289,0.20067842807546546
290,0.11850027567623013
291,0.15540720329695096
292,0.21782846499451392
293,0.3145403513084351
294,0.060818192303639086
295,0.1305081219371592
296,0.41812602092514894
297,0.09140583630957183
298,0.1457516569008422
313,0.8082133979663767
314,0.3681818102147805
315,0.26337436510811624
316,0.2487227058300815
317,0.3372585197075084
318,0.27243977327756697
319,0.1525318110058711
321,0.06568904804032022
322,0.32182438477078495
323,0.35722652740061706
324,0.29026401022212256
325,0.4150955433065828
326,0.19537316854271972
327,0.3182636688585714
328,0.2392191970337845
329,0.1212397145486098
330,0.13535216320729646
331,0.23118632621995955
332,0.23476963096096826
333,0.16764810729019733
335,0.3642844887594226
336,0.17685482969158475
337,0.22993347598496666
338,0.12035487301295628
354,0.12746831199171085
355,0.1447217063095013
356,0.1943101010489714
357,0.2790884355926672
358,0.6019551539091528
359,0.09069793928179597
360,0.2633658349105321
361,0.4938947976428603
362,0.5130859502756515
363,0.5566812246925071
364,0.14302057163605653
365,0.07580803094912067
366,0.21140941055454548
370,0.07946453436707279
371,0.06579261245917886
372,0.1116086729587324
373,0.15153771516226736
374,0.21924807119718445
375,0.13545704548618046
376,0.0966391170243752
377,0.09093068860203084
378,0.05927306790178341
393,0.17973900771837178
394,0.18633141316691165
395,0.655048068707432
396,0.3786310344786562
397,0.3781747261655017
398,0.16850641629446966
399,0.26117823050984873
400,0.7072070594628999
401,0.6683845418746694
402,0.2600687344218814
403,0.1905414199873277
408,0.2741269030747982
410,0.21863347743955044
411,0.2874961662124932
416,0.17406465006622185
432,0.678185943484879
434,0.11504414760860752
435,0.3213184638586569
436,0.15206007954892592
437,0.2530247647233407
438,0.16063939989748302
439,0.3112994170539153
440,0.10054960278526882
467,2.4117845489475167
468,1.5246311146921587
469,0.7356586455426912
471,0.19090488506697345
472,0.10521190799465764
473,0.08428712070358607
474,0.5025565728004322
475,0.33346232166081063
476,0.2960419222334904
477,0.10765793773348713
478,0.14464650344732088
505,2.1280281696147565
506,1.0180258800370974
507,0.13081221778481006
510,0.04083639659916602
511,0.3950576056737204
512,0.23593462507277385
513,0.1968637343256516
514,0.10580658411466737
515,0.3572146938862105
548,0.06302214830229629
549,0.0852623318658886
550,0.18180851670663015
551,0.14781435405466392
552,0.17940241473709456
553,0.17734268727950875
554,0.16535195255176013
586,0.4577351157729522
587,0.20142426614954126
588,0.7658109582182285
592,0.4492076371647379
593,0.29767437131925595
595,0.2519933775748319
596,0.5185665723127488
624,0.1948450988765109
632,0.2757053946500761
633,0.04261687876611655
634,0.1086623320687463
635,0.3959304982156256
661,0.6428988778313929
672,0.3727978976186923
673,0.2852460567261888
712,0.26465455279932604
