Grid_Number,bank
1097,0.0
1098,0.0
1099,4.0
1103,6.0
1157,1.0
1158,3.0
1159,9.0
1161,5.0
1210,1.0
1211,5.0
1212,6.0
1213,3.0
1214,1.0
1215,3.0
1216,5.0
1217,2.0
1219,2.0
1269,1.0
1270,9.0
1271,3.0
1272,4.0
1273,9.0
1274,7.0
1275,5.0
1276,4.0
1277,0.0
1325,1.0
1326,3.0
1327,2.0
1328,6.0
1329,5.0
1330,6.0
1331,9.0
1332,2.0
1333,2.0
1334,4.0
1335,3.0
1336,9.0
1383,1.0
1384,5.0
1385,3.0
1386,3.0
1387,8.0
1388,2.0
1389,2.0
1390,5.0
1391,5.0
1392,8.0
1393,4.0
1394,0.0
1395,5.0
1440,4.0
1441,2.0
1442,3.0
1443,0.0
1444,5.0
1445,4.0
1446,4.0
1447,5.0
1448,0.0
1449,2.0
1450,3.0
1451,1.0
1500,5.0
1501,3.0
1502,8.0
1504,7.0
1506,8.0
1507,5.0
1508,8.0
1509,2.0
1510,8.0
1559,4.0
1560,1.0
1565,6.0
1566,9.0
1619,3.0
1620,5.0
1621,4.0
1623,5.0
1624,7.0
1625,7.0
1631,6.0
1632,0.0
1676,3.0
1678,1.0
1679,4.0
1680,3.0
1681,1.0
1682,8.0
1686,6.0
1689,1.0
1690,4.0
1691,2.0
1736,6.0
1738,6.0
1739,0.0
1742,2.0
1748,0.0
1749,1.0
1750,0.0
1794,4.0
1795,4.0
1796,2.0
1797,3.0
1800,4.0
1803,5.0
1806,2.0
1807,3.0
1808,2.0
1809,1.0
1810,3.0
1842,0.0
1854,2.0
1855,2.0
1856,5.0
1865,3.0
1866,4.0
1867,7.0
1868,2.0
1901,4.0
1913,4.0
1914,1.0
1984,4.0
2037,2.0
2041,5.0
2043,5.0
2093,7.0
2097,4.0
2098,3.0
2099,1.0
2100,5.0
2101,0.0
2102,3.0
2152,4.0
2159,2.0
2212,2.0
2213,3.0
2214,1.0
2216,1.0
2217,0.0
2218,2.0
2219,12.0
2273,7.0
2275,1.0
2277,1.0
2278,2.0
2279,3.0
2393,3.0
