Grid_Number,school
0,15.0
1,15.0
2,15.0
3,19.0
4,18.0
5,14.0
6,13.0
7,16.0
8,18.0
9,21.0
10,22.0
11,23.0
12,21.0
13,23.0
14,22.0
15,21.0
16,16.0
17,10.0
18,13.0
19,20.0
20,17.0
21,19.0
22,20.0
23,19.0
24,17.0
25,18.0
26,20.0
27,15.0
28,13.0
29,12.0
30,11.0
31,10.0
32,6.0
33,8.0
34,7.0
35,8.0
36,9.0
37,15.0
38,17.0
39,17.0
40,19.0
41,22.0
42,20.0
43,19.0
44,19.0
45,20.0
46,24.0
47,29.0
48,35.0
49,34.0
50,35.0
51,32.0
52,35.0
53,30.0
54,31.0
55,23.0
56,14.0
57,11.0
58,9.0
59,15.0
60,16.0
61,18.0
62,20.0
63,19.0
64,17.0
65,14.0
66,16.0
67,21.0
68,25.0
69,28.0
70,33.0
71,30.0
72,33.0
73,31.0
74,31.0
75,27.0
76,20.0
77,23.0
78,22.0
79,22.0
80,26.0
81,26.0
82,26.0
83,25.0
84,23.0
85,26.0
86,20.0
87,15.0
88,16.0
89,13.0
90,11.0
91,8.0
92,8.0
93,9.0
94,11.0
95,12.0
96,15.0
97,19.0
98,21.0
99,22.0
100,25.0
101,26.0
102,32.0
103,32.0
104,31.0
105,40.0
106,41.0
107,43.0
108,48.0
109,46.0
110,40.0
111,39.0
112,40.0
113,43.0
114,32.0
115,20.0
116,15.0
117,10.0
118,14.0
119,19.0
120,20.0
121,26.0
122,24.0
123,20.0
124,20.0
125,22.0
126,28.0
127,33.0
128,38.0
129,36.0
130,36.0
131,40.0
132,56.0
133,59.0
134,55.0
135,49.0
136,32.0
137,29.0
138,33.0
139,34.0
140,32.0
141,30.0
142,33.0
143,32.0
144,26.0
145,20.0
146,19.0
147,16.0
148,17.0
149,15.0
150,9.0
151,10.0
152,10.0
153,17.0
154,19.0
155,23.0
156,29.0
157,31.0
158,28.0
159,31.0
160,34.0
161,41.0
162,53.0
163,64.0
164,68.0
165,65.0
166,63.0
167,57.0
168,50.0
169,46.0
170,43.0
171,44.0
172,44.0
173,33.0
174,19.0
175,15.0
176,13.0
177,17.0
178,21.0
179,24.0
180,28.0
181,29.0
182,22.0
183,22.0
184,25.0
185,31.0
186,39.0
187,44.0
188,42.0
189,55.0
190,73.0
191,79.0
192,76.0
193,67.0
194,68.0
195,57.0
196,47.0
197,38.0
198,35.0
199,33.0
200,34.0
201,38.0
202,40.0
203,35.0
204,26.0
205,29.0
206,22.0
207,19.0
208,18.0
209,22.0
210,17.0
211,17.0
212,20.0
213,22.0
214,24.0
215,30.0
216,34.0
217,35.0
218,46.0
219,51.0
220,91.0
221,107.0
222,106.0
223,100.0
224,99.0
225,94.0
226,73.0
227,53.0
228,50.0
229,46.0
230,47.0
